property;n;sum;min;max;Gini
http://www.wikidata.org/prop/direct/P1313;50258;55420;1;2729;0.093136942
http://www.wikidata.org/prop/direct/P1314;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1315;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1316;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1317;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1319;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1320;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1321;1020;2255;1;106;0.459350898
http://www.wikidata.org/prop/direct/P1322;321;324;1;2;0.009172724
http://www.wikidata.org/prop/direct/P1323;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1324;8072;8446;1;48;0.044097117
http://www.wikidata.org/prop/direct/P1325;19614;19667;1;4;0.00268949
http://www.wikidata.org/prop/direct/P1326;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1327;5812;7922;1;20;0.215077868
http://www.wikidata.org/prop/direct/P1329;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1330;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1331;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1332;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1333;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1334;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1335;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1336;97;1060;1;409;0.820774168
http://www.wikidata.org/prop/direct/P1339;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1340;48;6253;1;2254;0.895067034
http://www.wikidata.org/prop/direct/P1341;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1342;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P361;93500;650614;1;81581;0.761971722
http://www.wikidata.org/prop/direct/P1343;28828;2225719;1;1197629;0.980668319
http://www.wikidata.org/prop/direct/P1345;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P279;89700;2892843;1;941954;0.942800031
http://www.wikidata.org/prop/direct/P1347;13;7194;1;6804;0.907658091
http://www.wikidata.org/prop/direct/P1348;52523;52525;1;2;3.81E-05
http://www.wikidata.org/prop/direct/P1350;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1351;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1352;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1359;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1362;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1363;1623;2067;1;10;0.189060199
http://www.wikidata.org/prop/direct/P1364;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P276;92000;1377170;1;120604;0.884798986
http://www.wikidata.org/prop/direct/P1366;33820;51801;1;63;0.294868847
http://www.wikidata.org/prop/direct/P1367;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1368;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1369;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1370;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1371;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1373;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1375;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1376;71689;72409;1;9;0.009870293
http://www.wikidata.org/prop/direct/P1377;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1378;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1380;0;0;2147483647;0;1
